 No.  Type   Parameter     Error        Type 
   1    2    0.00000E+00   0.00000E+00  Block pole     
   2    2    0.00000E+00   0.00000E+00  Block pole     
   3    2    0.00000E+00   0.00000E+00  Block pole     
   4    2    0.00000E+00   0.00000E+00  Block pole     
   5    2    0.00000E+00   0.00000E+00  Block pole     
   6    2    0.00000E+00   0.00000E+00  Block pole     
   7    2    0.00000E+00   0.00000E+00  Block pole     
   8    2    0.00000E+00   0.00000E+00  Block pole     
   9    2    0.00000E+00   0.00000E+00  Block pole     
  10    2    0.00000E+00   0.00000E+00  Block pole     
  11    2    0.00000E+00   0.00000E+00  Block pole     
  12    2    0.00000E+00   0.00000E+00  Block pole     
  13    2    0.00000E+00   0.00000E+00  Block pole     
  14    2    0.00000E+00   0.00000E+00  Block pole     
  15    2    0.00000E+00   0.00000E+00  Block pole     
  16    4    1.00000E+00   0.00000E+00  Coupling ratio 
  17    4    1.00000E+00   0.00000E+00  Coupling ratio 
  18    4    1.00000E+00   0.00000E+00  Coupling ratio 
  19    4    1.00000E+00   0.00000E+00  Coupling ratio 
  20    4    1.00000E+00   0.00000E+00  Coupling ratio 
  21    4    1.00000E+00   0.00000E+00  Coupling ratio 
  22    4    1.00000E+00   0.00000E+00  Coupling ratio 
  23    4    1.00000E+00   0.00000E+00  Coupling ratio 
  24    4    1.00000E+00   0.00000E+00  Coupling ratio 
  25    4    1.00000E+00   0.00000E+00  Coupling ratio 
  26    4    1.00000E+00   0.00000E+00  Coupling ratio 
  27    4    1.00000E+00   0.00000E+00  Coupling ratio 
  28    4    1.00000E+00   0.00000E+00  Coupling ratio 
  29    4    1.00000E+00   0.00000E+00  Coupling ratio 
  30    4    1.00000E+00   0.00000E+00  Coupling ratio 
  31    4    1.00000E+00   0.00000E+00  Coupling ratio 
  32    4    1.00000E+00   0.00000E+00  Coupling ratio 
  33    4    1.00000E+00   0.00000E+00  Coupling ratio 
  34    4    1.00000E+00   0.00000E+00  Coupling ratio 
  35    4    1.00000E+00   0.00000E+00  Coupling ratio 
  36    4    1.00000E+00   0.00000E+00  Coupling ratio 
  37    4    1.00000E+00   0.00000E+00  Coupling ratio 
  38    4    1.00000E+00   0.00000E+00  Coupling ratio 
  39    4    1.00000E+00   0.00000E+00  Coupling ratio 
  40    4    1.00000E+00   0.00000E+00  Coupling ratio 
  41    4    1.00000E+00   0.00000E+00  Coupling ratio 
  42    4    1.00000E+00   0.00000E+00  Coupling ratio 
  43    4    1.00000E+00   0.00000E+00  Coupling ratio 
  44    4    1.00000E+00   0.00000E+00  Coupling ratio 
  45    4    1.00000E+00   0.00000E+00  Coupling ratio 
  46    4    1.00000E+00   0.00000E+00  Coupling ratio 
